Gene,Entrez,Fold change
C6orf48,50854,1.46
G2E3,55632,1.88
PTK2,5747,9.53E-01
ANKIB1,54467,8.65E-01
UFL1,23376,1.58
PLEKHA8,84725,1.67
FAM189A1,23359,-1.06
TOM1L2,146691,-1.18
GNAQ,2776,-1.28
CXXC5,51523,1.56
HEATR1,55127,1.67
TXLNG,55787,1.58
SCGN,10590,-1.72
NCOA1,8648,-1.09
SF3B1,23451,1.11
SMPD3,55512,-1.3
KIAA0513,9764,-1.54
RIF1,55183,1.55
UGCG,7357,-1.76
CDH3,1001,2.76
FNIP2,57600,-1.32
HMGB1,3146,1.46
KLF4,9314,-2.71
KAT2A,2648,9.91E-01
XPOT,11260,1.69
GLTP,51228,-1.66
ATP6V1F,9296,8.32E-01
RPL7AP9,441642,7.66E-01
ARHGDIA,396,-1.06
DPEP1,1800,4.14
AHNAK,79026,-1.76
ZZEF1,23140,-2.08
ZFAS1,441951,1.93
FAM63A,55793,-1.17
ZC3HAV1L,92092,1.93
CBX3,11335,2.12
PCBP1-AS1,400960,-1.5
ZNF7,7553,1.28
ITM2A,9452,-2.74
RPL36A,6173,1.36
NOP56,10528,9.76E-01
NUDCD1,84955,2.24
ZNF250,58500,1.1
GSN,2934,-1.93
DUS4L,11062,1.59
TGS1,96764,1.37
GTPBP1,9567,-8.46E-01
TSPAN3,10099,-1.24
MOB1A,55233,9.97E-01
CA7,766,-2.87
GNA13,10672,-1.04
RAD21,5885,1.59
NEBL,10529,2.59
DPY30,84661,1.11
FAM107B,83641,-2.2
NIFK,84365,1.6
RGP1,9827,-9.85E-01
ZNF107,51427,1.3
GCG,2641,-4.15
CCDC59,29080,1.14
C2,717,2.19
CNST,163882,-1.22
THRB,7068,-2.64
PROCR,10544,2.22
RNF43,54894,2.35
YEATS2,55689,1.07
STX12,23673,-9.90E-01
ATP6V0A1,535,-8.42E-01
VPS35,55737,1.31
ZFR,51663,1.25
LINC00657,647979,2.27
FBLIM1,54751,-1.66
SST,6750,-2.23
C8orf59,401466,1.55
WDR75,84128,1.28
NDUFB1,4707,-6.87E-01
KIF1C,10749,-5.79E-01
WDR74,54663,5.30E-01
CKAP2,26586,2.49
EFNA5,1946,-9.81E-01
MED16,10025,-9.68E-01
TOP1MT,116447,2.17
AZIN1,51582,1.32
MIR22HG,84981,-2.49
ATP6V0C,527,-9.07E-01
RAD54B,25788,2.22
FAM89A,375061,1.67
ATG4A,115201,-1.36
IFITM1,8519,2.27
KLF9,687,-1.54
PHF14,9678,1.35
SIM2,6493,1.3
FBXO45,200933,1.52
PFN1,5216,-1.68
CD1D,912,-1.29
PABPC1,26986,8.79E-01
DAB2IP,153090,-1.02
TMEM260,54916,1.34
TRIM27,5987,1.09
SLC7A5,8140,2.26
GCOM1,145781,-1.52
TNFRSF1A,7132,-9.89E-01
PUS7L,83448,9.74E-01
NAA25,80018,1.29
LIMS1,3987,1.16
VAMP2,6844,-8.16E-01
KLF2,10365,-2.15
PQLC1,80148,-1.29
FAN1,22909,1.1
ZBTB44,29068,1.4
PRKCQ-AS1,439949,9.83E-01
SSB,6741,1.64
RAE1,8480,1.76
CPNE8,144402,-2.74
ZNF267,10308,1.2
HSPH1,10808,1.53
GNA11,2767,-1.45
RIPK2,8767,1.05
MYO1C,4641,-1.32
LGR5,8549,4.51
NUFIP1,26747,2.1
BCAR3,8412,-1.42
ORC3,23595,1.53
NOLC1,9221,1.42
DIS3,22894,1.67
PYY,5697,-1.14
PDCD4,27250,-1.24
WASF2,10163,-9.95E-01
LOC101927204,101927204,1.15
GAB1,2549,-1.25
FRMD3,257019,-2.48
SLC39A10,57181,2.36
CXCL12,6387,-3.38
GNPDA1,10007,1.73
THUMPD3,25917,1.18
C1orf109,54955,1.47
POLR1D,51082,1.39
PSPH,5723,1.55
CCT2,10576,1.84
TCEB3-AS1,100506963,1
CAD,790,1.21
KIAA1143,57456,8.08E-01
DDX42,11325,1.26
NFE2L1,4779,-7.07E-01
KIAA0100,9703,9.17E-01
ATP2A3,489,-2.74
TAPT1,202018,-9.31E-01
KRT19,3880,-8.78E-01
HDC,3067,-6.28E-01
UBE3D,90025,1.38
SMIM14,201895,-1.37
AGPAT9,84803,-3.2
CNNM2,54805,-1.94
APBA1,320,-1.21
FUT1,2523,1.41
POT1,25913,1.44
TRIM2,23321,1.19
CLTB,1212,-1.92
CLU,1191,-3.29
TMEM216,51259,1.01
EHD1,10938,-8.55E-01
CD44,960,1.7
MORC2,22880,1.11
NR3C2,4306,-2.56
TMPRSS3,64699,2.4
LRP10,26020,-1.44
ZNF623,9831,1.44
KIAA1033,23325,1.25
PPP2CB,5516,-1.45
PITPNM3,83394,-2.08
HAUS3,79441,1.09
SCIN,85477,-2.28
COQ10B,80219,-1.01
THBS1,7057,-2.11
TATDN1,83940,1.52
EPHX4,253152,2.95
TMEM132A,54972,7.32E-01
ETFDH,2110,-1.8
PALD1,27143,2.16
EEA1,8411,1.28
ZNF138,7697,1.12
NELFCD,51497,1.78
EXOSC5,56915,1.36
LRP11,84918,1.78
PPID,5481,-2.24
MINK1,50488,-1.48
LDLRAD3,143458,2.23
C19orf48,84798,1.48
NOB1,28987,1.63
FBXL4,26235,1.31
WDR89,112840,7.01E-01
KRT23,25984,4.28
CCDC113,29070,2.29
AP3M2,10947,1.2
RELL1,768211,-1.37
GPER1,2852,-1.2
CHCHD10,400916,-1.71
CPSF3,51692,1.19
ORC5,5001,1.41
HSP90AB1,3326,1.76
UBR5,51366,1.74
GIPC1,10755,-1.2
C1orf21,81563,-1.44
CBX2,84733,1.49
NIT1,4817,-9.21E-01
ARHGAP18,93663,1.58
NIT2,56954,1.47
ZDHHC9,51114,1.57
ZNF451,26036,1.09
UGDH,7358,-1.64
LZTFL1,54585,1.56
ZNF146,7705,1.11
SNHG16,100507246,1.43
CWC15,51503,7.30E-01
ZSCAN29,146050,8.81E-01
UTP20,27340,1.27
MBD1,4152,-7.04E-01
IMMP2L,83943,1.56
RPF2,84154,1.44
TCF7L2,6934,-8.40E-01
PCSK5,5125,-2.3
AGK,55750,1.17
ACTB,60,-5.90E-01
PDK4,5166,-2.96
NBEAL1,65065,-1
ACADVL,37,-1.43
MGAT1,4245,-6.77E-01
THNSL1,79896,1.5
TMA16,55319,1.69
XPO5,57510,1.65
TMEM5,10329,1.1
CACFD1,11094,-1.02
ETV4,2118,1.15
ZC3H8,84524,1.42
RAB1B,81876,-7.25E-01
C12orf73,728568,1.63
LINC01184,644873,1.54
LMBR1,64327,1.31
CEP68,23177,9.79E-01
SPATA13,221178,1.31
WBP2,23558,-1.02
FBXO5,26271,1.72
WDR26,80232,-7.54E-01
PMS2P3,5387,8.65E-01
EFHD2,79180,-1.04
ZNF567,163081,8.82E-01
PTRH2,51651,1.18
PTPN18,26469,-9.28E-01
ZNF536,9745,-7.33E-01
MTDH,92140,9.69E-01
LOC100287411,100287411,-1.26
SVIP,258010,1.44
BEST4,266675,-3.66
TIAM1,7074,-1.93
APPL1,26060,1.29
FMNL2,114793,1.66
ARL6IP6,151188,1.16
C1GALT1,56913,1.5
MRPS31,10240,1.26
EPAS1,2034,-1.27
MAPK7,5598,-1.08
PPARD,5467,-1.68
DYNC1H1,1778,1.22
C8orf60,619426,-6.88E-01
CSE1L,1434,1.89
DGAT2,84649,2.05
ZER1,10444,-9.42E-01
RSL1D1,26156,1.67
ASPM,259266,1.67
TMEM100,55273,-2.64
CD46,4179,1.07
ANAPC7,51434,7.09E-01
BZW2,28969,1.17
CHST5,23563,-2.73
ZBTB33,10009,1.15
SLC22A3,6581,2.73
SLC39A6,25800,1.7
NOC3L,64318,1.39
SPPL2A,84888,-2.02
C12orf29,91298,1.72
KCTD10,83892,-1.01
RANBP2,5903,1.27
CAPZB,832,-7.84E-01
KIF13B,23303,-1.51
ATP5S,27109,-1.8
TTC3,7267,9.43E-01
HPS1,3257,-7.81E-01
NOL8,55035,1.11
POLR1C,9533,1.39
SGK1,6446,-2.89
THUMPD2,80745,1.11
RBM26,64062,6.92E-01
TPR,7175,1.28
ZNF575,284346,-1.93
VPS13D,55187,-6.88E-01
INTS8,55656,1.19
CDKN1A,1026,-1.64
FAM107A,11170,-1.64
HSBP1L1,440498,-9.47E-01
NMRAL1,57407,6.87E-01
GALNT6,11226,1.63
LYPLA1,10434,1.63
PABPC3,5042,8.44E-01
EBAG9,9166,1.14
PLEC,5339,-1.16
ADNP,23394,1.34
WBP1L,54838,-8.59E-01
RBMX,27316,1.14
LOC100505730,100505730,2.27
LIFR,3977,-2.68
ARMC10,83787,1.22
FAM214B,80256,-1.58
DNAJC2,27000,1.22
CNTN3,5067,-2.31
WDR3,10885,1.34
RDH5,5959,-1.37
MEST,4232,1.79
TMCC3,57458,-1.98
CBFB,865,1.46
PPAP2A,8611,-1.9
CHD4,1108,8.13E-01
PTCD1,26024,6.61E-01
SHROOM4,57477,1.11
DLEU1,10301,1.26
MRPS23,51649,1.72
ASUN,55726,1.47
ZNRF3,84133,2.36
PRDX6,9588,-1.49
ANO5,203859,-2.27
TBC1D4,9882,1.42
MXD1,4084,-1.17
SLC44A1,23446,-1.9
FAM220A,84792,1.23
AK1,203,-1.96
RHOG,391,-9.41E-01
PHYKPL,85007,-1.49
HS2ST1,9653,1.83
FAM210B,116151,1.84
IPO5,3843,1.72
MTMR10,54893,-7.92E-01
OLFM1,10439,-2.2
PTK2B,2185,-1.18
KIAA1211,57482,-2.49
NFXL1,152518,1.39
FZD5,7855,-1.22
DPH6,89978,1.6
C11orf31,280636,6.81E-01
CCNG2,901,-1.27
LMNA,4000,-1.02
BRIX1,55299,1.5
PPIL1,51645,1.7
PIGM,93183,1
ANAPC10,10393,1.29
SCNN1B,6338,-3.08
HMGB3,3149,1.87
NAA60,79903,-1.1
LSM8,51691,9.86E-01
SLC41A3,54946,9.12E-01
RER1,11079,-8.56E-01
SNRPD2,6633,1.39
RNF219,79596,1.76
CTDSP1,58190,-6.09E-01
C6orf223,221416,5.77E-01
ACKR1,2532,-2.74
RBM39,9584,1.71
TNIP1,10318,-1.12
SCAF11,9169,8.73E-01
CDC34,997,-4.37E-01
PUS7,54517,1.86
CDK12,51755,9.67E-01
PALB2,79728,1.14
EIF3H,8667,9.58E-01
THOC2,57187,9.72E-01
C2orf88,84281,-2.56
BRD7,29117,1.11
TUG1,55000,9.18E-01
LOC100288911,100288911,-1.39
RFX7,64864,9.38E-01
SEMA4D,10507,8.66E-01
SETD6,79918,1.33
G3BP1,10146,9.39E-01
CDK4,1019,1.62
ZBTB38,253461,1.13
M6PR,4074,1.61
MPHOSPH10,10199,9.63E-01
RECQL,5965,1.43
FRMD4B,23150,-2.15
CALM1,801,-1.13
TECPR1,25851,-9.13E-01
DKFZp451A211,400169,4.52E-01
ZBTB9,221504,1.03
RPS20,6224,1.01
LOC389332,389332,-8.73E-01
EDF1,8721,-6.94E-01
TTC26,79989,1.31
C12orf45,121053,7.64E-01
TEAD4,7004,7.27E-01
TNIP2,79155,-4.92E-01
ZNF92,168374,9.10E-01
REPS1,85021,8.22E-01
BEST2,54831,-2.69
SIRT6,51548,-1.3
TRIM3,10612,-7.65E-01
USP28,57646,9.35E-01
GLMN,11146,8.48E-01
JADE3,9767,1.81
B3GALT4,8705,-1
ENDOD1,23052,-1.98
USP10,9100,1.02
DENND3,22898,-1
ZNF253,56242,1.29
LYAR,55646,1.96
FAM129B,64855,-1.13
PMAIP1,5366,2.25
IGHA1,3493,-1.91
PCID2,55795,1.26
PPHLN1,51535,7.69E-01
AZGP1,563,2.99
TMEM246,84302,-1.7
C16orf46,123775,8.50E-01
TRIM24,8805,1.16
ABCC1,4363,1.15
LETM1,3954,-9.91E-01
KIAA1549,57670,1.61
PFDN4,5203,1.89
NUP43,348995,1.12
MT1M,4499,-3.35
NKD2,85409,9.34E-01
PLCE1,51196,-1.97
GTF2IRD1,9569,1.66
NUP107,57122,1.16
MBTD1,54799,9.46E-01
HNRNPR,10236,1.28
MFSD12,126321,8.38E-01
FAM92A1,137392,2.54
DARS,1615,1.18
PLAU,5328,2.15
CHRDL1,91851,-3.37
FAM126B,285172,-1.41
GPALPP1,55425,1.5
GTF2F2,2963,1.2
ZNF770,54989,1.1
CD59,966,-1.08
MEIS3P1,4213,-1.86
ITPKA,3706,-1.81
EHMT2,10919,1.23
LACTB2,51110,1.76
ZFAND2B,130617,-8.88E-01
TOMM34,10953,1.48
WIPF2,147179,-7.36E-01
TIGD2,166815,1.22
NKRF,55922,1.25
CENPJ,55835,1.19
GLO1,2739,1.17
URI1,8725,1.29
BICD1,636,1.93
RHOU,58480,-1.37
GPSM2,29899,1.76
CUL5,8065,8.23E-01
MCM3AP-AS1,114044,9.83E-01
HDAC2,3066,1.2
JAG2,3714,1.24
HAUS2,55142,6.21E-01
OGDH,4967,-6.72E-01
PTPN11,5781,1.07
STK4,6789,8.60E-01
ASAP1,50807,7.90E-01
RAB4B,53916,-1.15
ARHGEF18,23370,-1.31
INTS7,25896,9.50E-01
MEF2D,4209,-7.69E-01
ZFP36,7538,-1.31
EGLN2,112398,-6.84E-01
RPAP2,79871,8.62E-01
CDC16,8881,9.01E-01
SMCHD1,23347,-1.22
FAM46A,55603,-2.01
PDE3A,5139,-2.27
TMEM182,130827,7.02E-01
VPS4B,9525,-1.04
COMT,1312,9.78E-01
RILP,83547,-9.07E-01
GBF1,8729,-5.82E-01
LINC00341,79686,-1.7
ENTPD5,957,-2.02
WDR1,9948,-4.76E-01
EPRS,2058,1.06
SUN2,25777,-8.22E-01
SUZ12,23512,7.73E-01
TMEM123,114908,1.13
MSI2,124540,1.16
STYK1,55359,-1.71
FAM162A,26355,-8.77E-01
STK40,83931,-9.46E-01
C16orf13,84326,7.44E-01
RNF113A,7737,1.03
SREK1,140890,6.35E-01
ZAK,51776,1.59
E2F6,1876,1.14
DCAF4,26094,8.70E-01
SOX9,6662,2.28
LOC389906,389906,5.07E-01
CSTF1,1477,1.09
PER1,5187,-1.32
NT5C,30833,-7.02E-01
MLXIPL,51085,7.90E-01
DNASE1L3,1776,-1.82
EIF2S2,8894,1.39
SLC25A36,55186,1.01
NONO,4841,1.06
SOCS6,9306,-1.72
ACADS,35,-1.35
MTHFR,4524,-9.55E-01
RNF10,9921,-1.07
NUP37,79023,1.5
PRIM1,5557,1.67
BUB3,9184,1.54
CEBPZOS,105374463,6.45E-01
FAM102A,399665,-9.80E-01
SNHG6,641638,1.33
PRIM2,5558,8.07E-01
AKAP13,11214,-9.38E-01
ELMSAN1,91748,-1.13
ZNF12,7559,9.60E-01
HOXD1,3231,-1.64
PHF3,23469,8.74E-01
CAMK2D,817,-1.58
ARNTL2,56938,1
LDHD,197257,-1.99
NAP1L1,4673,1.49
CAB39,51719,-9.27E-01
FOSB,2354,-2.77
SUPT20H,55578,1.27
UTP14A,10813,1.9
VLDLR,7436,-2.25
FBXO9,26268,7.85E-01
ZMYM3,9203,7.99E-01
MED19,219541,6.42E-01
EPB41L4A,64097,-2.18
WDR12,55759,1.45
ANXA9,8416,1.15
BTF3L4,91408,1.32
TACC2,10579,-9.15E-01
ACTL6A,86,1.24
APEX1,328,1.32
GAREM,64762,-1.26
SLC22A18AS,5003,-1.59
GEMIN6,79833,1.12
DDX27,55661,1.17
ZBTB7B,51043,-9.33E-01
STX16,8675,7.34E-01
TTC7A,57217,-6.99E-01
FEZ2,9637,-8.72E-01
PIGS,94005,-7.79E-01
TUBB2A,7280,-2.04
NAA15,80155,1.55
ZNF22,7570,1.68
ACTN4,81,-1.14
SLC25A23,79085,-1.45
SLC4A4,8671,-1.01
ITM2C,81618,-1.86
RPGRIP1L,23322,1.59
RASSF10,644943,2.69
MT1E,4493,-2.14
MAPK3,5595,-1.06
RHOT1,55288,1.06
SCG2,7857,-2.28
ANXA11,311,-7.69E-01
NOP2,4839,1.23
ZNF239,8187,1.69
OSBPL3,26031,1.64
RPS21,6227,9.38E-01
MRPL30,51263,8.01E-01
DDX47,51202,9.21E-01
NEU4,129807,-7.97E-01
USPL1,10208,1.33
GAREML,150946,-6.15E-01
PAAF1,80227,1.51
GPT,2875,-8.33E-01
TMEM127,55654,-8.91E-01
HAUS6,54801,1.13
PRMT3,10196,1.9
LMF2,91289,-3.58E-01
MBNL1,4154,-1.02
CCDC107,203260,-1.09
CFLAR,8837,-9.83E-01
RPS5,6193,9.38E-01
ZSWIM6,57688,-1.07
GHR,2690,-2.28
ACTR1A,10121,-7.82E-01
SEMA3B,7869,-1.13
CBX5,23468,1.22
CSPP1,79848,1.52
LRRFIP2,9209,-9.40E-01
SMYD2,56950,1.27
PDP1,54704,1.85
PMS2P1,5379,7.08E-01
RP9,6100,9.59E-01
EHBP1L1,254102,-1.21
PLCD3,113026,-6.59E-01
C15orf57,90416,-6.59E-01
RUVBL2,10856,-3.54E-01
EIF1AX,1964,1.17
CPEB2,132864,-1.22
HCFC2,29915,-1.03
CEP41,95681,1.42
SLC25A20,788,-1.42
PPIL3,53938,9.67E-01
PTP4A1,7803,-1.46
CHD7,55636,1.12
RFC2,5982,8.19E-01
PLCL2,23228,-2.15
KLF6,1316,-1.31
SMG1,23049,1.03
NCOA4,8031,-6.06E-01
CCND1,595,1.53
RNF183,138065,1.95
EPHX1,2052,-1.22
PTPN21,11099,-8.64E-01
SCNN1G,6340,-2.85
HECTD3,79654,-1.28
AAK1,22848,-1.2
TMEM259,91304,-6.73E-01
SUPT16H,11198,1.56
NDEL1,81565,-1.18
SUGT1,10910,8.40E-01
MOSPD2,158747,1.03
PTPLAD1,51495,1.7
IER5L,389792,1.06
KIAA1147,57189,8.83E-01
GRAMD3,65983,-1.73
PRPF40A,55660,8.21E-01
RAB5B,5869,-8.85E-01
SLC25A34,284723,-1.66
PSTPIP2,9050,1.66
CMSS1,84319,1.6
SH2B1,25970,-4.64E-01
ZNF720,124411,7.44E-01
ABHD17A,81926,-7.28E-01
WSCD1,23302,-1.34
TCF3,6929,9.25E-01
TCFL5,10732,2.23
KAZALD1,81621,-1.02
DMXL2,23312,-1.38
RAP2A,5911,1.23
TBC1D31,93594,1.6
ZNF880,400713,-4.44E-01
DCAF13,25879,1.68
TRMT5,57570,1.36
C11orf1,64776,1.43
CCNT1,904,7.26E-01
PARM1,25849,-2.04
CCNC,892,8.55E-01
GXYLT1,283464,1.11
TSPAN7,7102,-2.65
RHOF,54509,-1.35
USB1,79650,-5.54E-01
TMEM97,27346,1.75
ZSWIM8,23053,-8.23E-01
RPL7A,6130,7.04E-01
KRT80,144501,1.9
ADPGK,83440,5.81E-01
WSB2,55884,-1.09
RHBDL2,54933,-1.31
CCT6A,908,1.24
PINK1,65018,-1.08
TXNRD3,114112,1.18
ZNF280C,55609,1.51
C19orf53,28974,8.53E-01
PIM1,5292,-1.03
CTPS2,56474,1.36
USP1,7398,1.22
AFF1,4299,-7.65E-01
CHMP6,79643,-6.88E-01
APOBR,55911,-1.67
MOB3A,126308,-9.52E-01
TSEN2,80746,1.36
ZNF263,10127,8.44E-01
CPOX,1371,1.1
PDE9A,5152,-2.89
NUCB1,4924,-7.93E-01
UGGT2,55757,1.09
NDUFC1,4717,-7.39E-01
IPO7,10527,1.24
MTR,4548,1.36
PTPRH,5794,-2.4
EBPL,84650,1.63
GUCA2B,2981,-3.37
LITAF,9516,-1.36
DNM2,1785,-1.15
GTPBP4,23560,1.22
ACP1,52,9.32E-01
UTP3,57050,1.01
GATC,283459,1.09
INHBA,3624,3.22
ZSCAN16,80345,8.84E-01
TRIT1,54802,1.04
PLEKHA6,22874,-1.03
DHX9,1660,1.82
SCAMP1,9522,1.39
TARBP1,6894,1.37
ILF3,3609,1.31
UTP18,51096,1.34
PPM1B,5495,-6.17E-01
TEX10,54881,1.09
RRS1,23212,1.33
FBXO32,114907,-1.89
FAM115A,9747,1.24
ATP6V0D1,9114,-1.22
OLA1,29789,9.22E-01
DISP2,85455,-1.91
DUSP14,11072,1.77
OS9,10956,-6.96E-01
PRPS1,5631,1.37
WDR5B,54554,1.22
MAP2K2,5605,-1.14
TXNDC17,84817,-7.69E-01
MOB3B,79817,-1.23
KCTD9,54793,-1.63
LRMP,4033,-1.58
USP31,57478,1.18
GUCA2A,2980,-3.72
SIDT2,51092,-6.94E-01
NCOA3,8202,8.60E-01
NMNAT1,64802,-6.53E-01
C17orf85,55421,-5.35E-01
ADD3,120,1.14
LOC646870,646870,-1.07
NUPL2,11097,1.21
DOT1L,84444,-1.12
QSOX1,5768,-1.34
PLEKHA2,59339,1.57
CDHR5,53841,-2.06
MT1HL1,645745,-1.95
GTF3A,2971,1.39
KLF7,8609,1.8
MTHFD1L,25902,2.27
PLXNA1,5361,1.04
MTFR1,9650,1.15
GPN3,51184,1.05
FLII,2314,-6.91E-01
CACNB2,783,-1.82
ZNF558,148156,7.38E-01
DDIAS,220042,1.44
UBE2O,63893,4.66E-01
HRCT1,646962,-2.1
SERTAD2,9792,-1.2
ARPC4,10093,-7.64E-01
EDIL3,10085,-2.49
ZKSCAN1,7586,1.21
ATG4D,84971,-1.25
CLNS1A,1207,1.34
ACVR2B,93,8.17E-01
ZDHHC18,84243,-7.72E-01
BBX,56987,1.2
MT1F,4494,-2.18
RANBP17,64901,7.32E-01
GAS2L1,10634,-1.17
FGF9,2254,-1.07
BCLAF1,9774,1.08
C6orf136,221545,-1.36
EIF5B,9669,9.13E-01
MLXIP,22877,-1.08
MPPE1,65258,-7.97E-01
FHL1,2273,-3.09
ENTPD3,956,-1.29
RARA,5914,-7.07E-01
ACAA1,30,-1.17
SNTB1,6641,1.91
CPNE5,57699,-1.29
CPTP,80772,-1.08
PPP1R3D,5509,1.19
BCL7A,605,8.00E-01
OTUD1,220213,-1.17
DPH5,51611,1.05
AURKAIP1,54998,-7.73E-01
CLEC3B,7123,-2.41
DUSP5,1847,-1.74
MAPKAPK3,7867,6.43E-01
EPHB4,2050,8.30E-01
CSRNP1,64651,-1.46
PPP1R35,221908,7.28E-01
HADHB,3032,-6.75E-01
TPSB2,64499,-1.5
NGDN,25983,7.72E-01
CA12,771,-1.07
SNRPC,6631,7.06E-01
SLCO2A1,6578,-1.89
MTPAP,55149,1.39
PAFAH2,5051,-1.1
ATG12,9140,9.20E-01
CTTNBP2,83992,1.84
CYB5R3,1727,-7.05E-01
TTC17,55761,1.39
DDX31,64794,1.21
DHX40,79665,9.35E-01
DCUN1D5,84259,1.63
CBX4,8535,1.5
SH2D1B,117157,-8.13E-01
FOPNL,123811,5.23E-01
CAPN5,726,-1.02
KAT2B,8850,-1.75
PRKACA,5566,-5.26E-01
MPC1,51660,-9.92E-01
SNAP23,8773,-7.21E-01
ASAP2,8853,-7.10E-01
TGFBI,7045,2.87
ZNF142,7701,5.20E-01
INTS2,57508,1.29
ADCY3,109,1.21
EIF4E3,317649,-1.65
EFCAB11,90141,1.44
TMEM61,199964,-1.39
MT1X,4501,-2.03
LIPT1,51601,9.37E-01
LOC158863,158863,1.46
C10orf2,56652,1.27
PPP1R15A,23645,-1.03
LSG1,55341,7.87E-01
PMS1,5378,1.3
INSL5,10022,-3
CCND3,896,-7.85E-01
NXT2,55916,1.07
CLDN23,137075,-2.9
EMP1,2012,-2.18
ALPI,248,-1.31
PROX1,5629,2.03
SDCCAG3,10807,1.23
DNMT3B,1789,1.18
FBXO21,23014,1.16
SLC16A14,151473,-2.41
RPAP3,79657,1.32
TRAF5,7188,1.5
GDPD3,79153,-2.37
CDC42BPA,8476,-8.05E-01
STYX,6815,6.44E-01
VSIG2,23584,-2.32
EIF3M,10480,7.69E-01
TBC1D5,9779,8.44E-01
FANCF,2188,1.12
CPNE1,8904,1.58
FTH1,2495,-1.04
C22orf29,79680,8.75E-01
TMEM72,643236,-1.5
POLR2K,5440,1.29
RAF1,5894,-5.60E-01
JOSD1,9929,-1.08
TARS2,80222,6.34E-01
PLCD1,5333,-1.36
ASXL1,171023,8.46E-01
SNHG1,23642,1.54
SRSF5,6430,-8.25E-01
ZMIZ1,57178,-9.81E-01
ZNF84,7637,8.62E-01
SCP2,6342,-6.28E-01
GNA14,9630,-6.63E-01
C1orf226,400793,-1.1
UPF3A,65110,9.40E-01
LOC100507239,100507239,9.98E-01
SRSF7,6432,7.72E-01
U2SURP,23350,1
SLC16A1-AS1,100506392,5.56E-01
CPSF4,10898,5.66E-01
IFNAR2,3455,7.31E-01
TRAK1,22906,-1.22
ACTR5,79913,9.26E-01
C17orf75,64149,9.09E-01
DYRK2,8445,-1.15
OAF,220323,-1.09
CRK,1398,-8.68E-01
CEP290,80184,9.86E-01
GPATCH2,55105,1.26
ITPRIPL2,162073,1.1
RAN,5901,1.21
RAB27A,5873,-1.79
MNX1-AS1,645249,9.08E-01
MYL6,4637,-6.03E-01
POLR1B,84172,6.53E-01
SRFBP1,153443,1.27
IQCB1,9657,8.32E-01
ATP6V1E2,90423,9.74E-01
RBMX2,51634,7.57E-01
TMEM209,84928,5.54E-01
KIAA1731,85459,7.64E-01
LRRC8E,80131,1.4
MAP3K11,4296,-8.60E-01
SPATS2,65244,1.02
POLG2,11232,8.22E-01
SMAP2,64744,-7.82E-01
CHP2,63928,-2.92
HERC3,8916,-6.05E-01
