#Entrez gene name, Entrez gene ID
BAD,572
BAG1,573
BAG2,9532
BAG3,9531
BAG4,9530
BAG5,9529
BAI1,575
BAIAP2,10458
BAK1,578
BAMBI,25805
BANF1,8815
BANK1,55024
BANP,54971
BAP1,8314
BARD1,580
BARX1,56033
BARX2,8538
BAT3,7917
BATF3,55509
BAX,581
BBC3,27113
BBS4,585
BCAM,4059
BCAP31,10134
BCAR1,9564
BCAR3,8412
BCAS3,54828
BCAT1,586
BCCIP,56647
BCHE,590
BCKDHB,594
BCL10,8915
BCL11A,53335
BCL11B,64919
BCL2,596
BCL2A1,597
BCL2L1,598
BCL2L10,10017
BCL2L11,10018
BCL2L13,23786
BCL2L14,79370
BCL2L2,599
BCL3,602
BCL6,604
BCL7A,605
BCL9,607
BCR,613
BDH1,622
BDKRB1,623
BDKRB2,624
BDNF,627
BECN1,8678
BFAR,51283
BGLAP,632
BGN,633
BHLHE40,8553
BHLHE41,79365
BICD2,23299
BID,637
BIK,638
BIN1,274
BIN2,51411
BIRC2,329
BIRC3,330
BIRC5,332
BIRC6,57448
BIRC7,79444
BLCAP,10904
BLK,640
BLM,641
BLNK,29760
BLOC1S1,2647
BLVRB,645
BMF,90427
BMI1,648
BMP1,649
BMP10,27302
BMP15,9210
BMP2,650
BMP2K,55589
BMP3,651
BMP4,652
BMP5,653
BMP6,654
BMP7,655
BMP8A,353500
BMP8B,656
BMPR1A,657
BMPR1B,658
BMPR2,659
BMX,660
BNC1,646
BNIP3,664
BNIP3L,665
BOC,91653
BOK,666
BPNT1,10380
BRAF,673
BRAP,8315
BRCA1,672
BRCA2,675
BRD2,6046
BRD4,23476
BRD7,29117
BRD8,10902
BRD9,65980
BRE,9577
BRF1,2972
BRI3,25798
BRIP1,83990
BRMS1,25855
BRS3,680
BRSK1,84446
BRSK2,9024
BSG,682
BSND,7809
BST1,683
BTAF1,9044
BTC,685
BTG1,694
BTG2,7832
BTK,695
BTLA,151888
BTRC,8945
BUB1,699
BUB1B,701
BUB3,9184
C10orf137,26098
C11orf2,738
C12orf5,57103
C13orf1,57213
C13orf15,28984
C13orf34,79866
C16orf5,29965
C16orf80,29105
C17orf70,80233
C19orf40,91442
C19orf61,56006
C1QA,712
C1QB,713
C1QC,714
C1QTNF1,114897
C1R,715
C1S,716
C2,717
C3,718
C3AR1,719
C3orf10,55845
C4A,720
C4B,721
C4BPA,722
C4BPB,725
C5,727
C5AR1,728
C6,729
C7,730
C7orf16,10842
C7orf49,78996
C8A,731
C8B,732
C8G,733
C8orf17,56988
C8orf4,56892
C9,735
C9orf89,84270
CA1,759
CA2,760
CA5B,11238
CA9,768
CAB39,51719
CABIN1,23523
CABLES1,91768
CABLES2,81928
CABP1,9478
CACNA1A,773
CACNA1B,774
CACNA1C,775
CACNA1D,776
CACNA1E,777
CACNA1F,778
CACNA1G,8913
CACNA1H,8912
CACNA1I,8911
CACNA1S,779
CACNA2D1,781
CACNA2D2,9254
CACNA2D3,55799
CACNA2D4,93589
CACNB1,782
CACNB2,783
CACNB3,784
CACNB4,785
CACNG1,786
CACNG2,10369
CACNG3,10368
CACNG4,27092
CACNG5,27091
CACNG6,59285
CACNG7,59284
CACNG8,59283
CACYBP,27101
CAD,790
CADM1,23705
CALB1,793
CALCA,796
CALCB,797
CALCOCO1,57658
CALCR,799
CALCRL,10203
CALD1,800
CALM1,801
CALM2,805
CALM3,808
CALML3,810
CALML5,51806
CALML6,163688
CALR,811
CAMK1,8536
CAMK1D,57118
CAMK1G,57172
CAMK2A,815
CAMK2B,816
CAMK2D,817
CAMK2G,818
CAMK4,814
CAMKK1,84254
CAMKK2,10645
CAMLG,819
CAMP,820
CANX,821
CAP1,10487
CAPN1,823
CAPN2,824
CAPN3,825
CAPNS1,826
CAPZB,832
CARD10,29775
CARD11,84433
CARD14,79092
CARD16,114769
CARD18,59082
CARD6,84674
CARD8,22900
CARD9,64170
CARHSP1,23589
CARM1,10498
CASK,8573
CASKIN1,57524
CASP1,834
CASP10,843
CASP2,835
CASP3,836
CASP4,837
CASP5,838
CASP6,839
CASP7,840
CASP8,841
CASP8AP2,9994
CASP9,842
CASQ1,844
CASR,846
CAST,831
CAT,847
CAV1,857
CAV2,858
CAV3,859
CBFA2T2,9139
CBFA2T3,863
CBFB,865
CBL,867
CBLB,868
CBLC,23624
CBLL1,79872
CBS,875
CBWD3,445571
CBX1,10951
CBX4,8535
CBX5,23468
CBY1,25776
CC2D1A,54862
CCAR1,55749
CCBP2,1238
CCDC40,55036
CCDC62,84660
CCK,885
CCKAR,886
CCKBR,887
CCL1,6346
CCL11,6356
CCL13,6357
CCL14,6358
CCL15,6359
CCL16,6360
CCL17,6361
CCL18,6362
CCL19,6363
CCL2,6347
CCL20,6364
CCL21,6366
CCL22,6367
CCL23,6368
CCL24,6369
CCL25,6370
CCL26,10344
CCL27,10850
CCL28,56477
CCL3,6348
CCL3L1,6349
CCL3L3,414062
CCL4,6351
CCL4L1,9560
CCL4L2,388372
CCL5,6352
CCL7,6354
CCL8,6355
CCM2,83605
CCNA1,8900
CCNA2,890
CCNB1,891
CCNB2,9133
CCNB3,85417
CCNC,892
CCND1,595
CCND2,894
CCND3,896
CCNE1,898
CCNE2,9134
CCNG1,900
CCNG2,901
CCNH,902
CCNK,8812
CCNL2,81669
CCNO,10309
CCNT1,904
CCNT2,905
CCR1,1230
CCR10,2826
CCR2,729230
CCR3,1232
CCR4,1233
CCR5,1234
CCR6,1235
CCR7,1236
CCR8,1237
CCR9,10803
CCS,9973
CCT4,10575
CD109,135228
CD14,929
CD151,977
CD160,11126
CD163,9332
CD177,57126
CD19,930
CD1A,909
CD1C,911
CD2,914
CD200R1,131450
CD209,30835
CD22,933
CD226,10666
CD24,100133941
CD244,51744
CD247,919
CD27,939
CD274,29126
CD28,940
CD2AP,23607
CD33,945
CD34,947
CD36,948
CD37,951
CD38,952
CD3D,915
CD3E,916
CD3G,917
CD4,920
CD40,958
CD40LG,959
CD44,960
CD46,4179
CD47,961
CD48,962
CD5,921
CD55,1604
CD58,965
CD59,966
CD6,923
CD63,967
CD69,969
CD70,970
CD72,971
CD74,972
CD79A,973
CD79B,974
CD80,941
CD81,975
CD82,3732
CD83,9308
CD86,942
CD8A,925
CD8B,926
CD9,928
CD96,10225
CD97,976
CD99,4267
CD99L2,83692
CDC14A,8556
CDC14B,8555
CDC16,8881
CDC20,991
CDC23,8697
CDC25A,993
CDC25B,994
CDC25C,995
CDC26,246184
CDC27,996
CDC34,997
CDC37,11140
CDC42,998
CDC42BPA,8476
CDC42SE1,56882
CDC45L,8318
CDC6,990
CDC7,8317
CDC73,79577
CDCA4,55038
CDCA5,113130
CDCA7,83879
CDCA7L,55536
CDCA8,55143
CDH1,999
CDH11,1009
CDH13,1012
CDH17,1015
CDH2,1000
CDH4,1002
CDH5,1003
CDK1,983
CDK11A,728642
CDK11B,984
CDK15,65061
CDK16,5127
CDK18,5129
CDK19,23097
CDK2,1017
CDK2AP1,8099
CDK3,1018
CDK4,1019
CDK5,1020
CDK5R1,8851
CDK5R2,8941
CDK5RAP2,55755
CDK5RAP3,80279
CDK6,1021
CDK7,1022
CDK8,1024
CDK9,1025
CDKL1,8814
CDKL3,51265
CDKL5,6792
CDKN1A,1026
CDKN1B,1027
CDKN1C,1028
CDKN2A,1029
CDKN2B,1030
CDKN2C,1031
CDKN2D,1032
CDKN3,1033
CDON,50937
CDR1,1038
CDR2,1039
CDS1,1040
CDSN,1041
CDT1,81620
CDX1,1044
CDX2,1045
CDX4,1046
CEACAM1,634
CEACAM5,1048
CEACAM7,1087
CEBPA,1050
CEBPB,1051
CEBPD,1052
CEBPZ,10153
CEL,1056
CELA1,1990
CELIAC2,317782
CELP,1057
CENPA,1058
CENPB,1059
CENPF,1063
CENPJ,55835
CEP110,11064
CEP135,9662
CEP152,22995
CEP164,22897
CEP250,11190
CEP290,80184
CEP55,55165
CEP57,9702
CEP63,80254
CEP70,80321
CEP72,55722
CEP76,79959
CEP78,84131
CER1,9350
CERK,64781
CES1,1066
CES2,8824
CES3,23491
CES4,51716
CES7,221223
CES8,283848
CETN2,1069
CETP,1071
CFB,629
CFD,1675
CFH,3075
CFI,3426
CFL1,1072
CFL2,1073
CFLAR,8837
CFM1,10167
CFM2,23727
CFP,5199
CFTR,1080
CGA,1081
CGB,1082
CGN,57530
CHAD,1101
CHAF1A,10036
CHAF1B,8208
CHAT,1103
CHD8,57680
CHEK1,1111
CHEK2,11200
CHFR,55743
CHGA,1113
CHGB,1114
CHI3L1,1116
CHIA,27159
CHIT1,1118
CHKA,1119
CHMP1A,5119
CHMP1B,57132
CHMP2A,27243
CHMP2B,25978
CHMP4A,29082
CHMP4B,128866
CHMP4C,92421
CHMP5,51510
CHMP6,79643
CHN1,1123
CHN2,1124
CHP,11261
CHP2,63928
CHRD,8646
CHRFAM7A,89832
CHRM1,1128
CHRM2,1129
CHRM3,1131
CHRM4,1132
CHRM5,1133
CHRNA1,1134
CHRNA7,1139
CHRNE,1145
CHUK,1147
CIAO1,9391
CIAPIN1,57019
CIDEA,1149
CIITA,4261
CILP,8483
CIR1,9541
CIRBP,1153
CISH,1154
CIT,11113
CITED1,4435
CITED2,10370
CKAP5,9793
CKB,1152
CKM,1158
CKS1A,137529
CKS1B,1163
CKS2,1164
CLASP1,23332
CLASRP,11129
CLCA1,1179
CLCA2,9635
CLCF1,23529
CLCN4,1183
CLDN1,9076
CLDN10,9071
CLDN11,5010
CLDN14,23562
CLDN15,24146
CLDN16,10686
CLDN17,26285
CLDN18,51208
CLDN19,149461
CLDN2,9075
CLDN20,49861
CLDN22,53842
CLDN23,137075
CLDN3,1365
CLDN4,1364
CLDN5,7122
CLDN6,9074
CLDN7,1366
CLDN8,9073
CLDN9,9080
CLEC1A,51267
CLEC2B,9976
CLEC3A,10143
CLEC4G,339390
CLEC7A,64581
CLIC1,1192
CLIC4,25932
CLIP1,6249
CLK1,1195
CLK2,1196
CLK3,1198
CLK4,57396
CLLU1,574028
CLLU1OS,574016
CLNS1A,1207
CLOCK,9575
CLP1,10978
CLSPN,63967
CLTA,1211
CLTB,1212
CLTC,1213
CLU,1191
CMA1,1215
CMKLR1,1240
CMM,1243
CMTM2,146225
CMTM3,123920
CMTM8,152189
CMTX2,1253
CNGA1,1259
CNGA2,1260
CNGA3,1261
CNGB1,1258
CNGB3,54714
CNKSR1,10256
CNN1,1264
CNOT6,57472
CNR1,1268
CNR2,1269
CNTF,1270
CNTFR,1271
CNTN1,1272
CNTN2,6900
CNTNAP1,8506
CNTNAP2,26047
COBRA1,25920
COIL,8161
COL10A1,1300
COL11A1,1301
COL11A2,1302
COL15A1,1306
COL17A1,1308
COL18A1,80781
COL1A1,1277
COL1A2,1278
COL24A1,255631
COL2A1,1280
COL3A1,1281
COL4A1,1282
COL4A2,1284
COL4A3,1285
COL4A3BP,10087
COL4A4,1286
COL4A6,1288
COL5A1,1289
COL5A2,1290
COL5A3,50509
COL6A1,1291
COL6A2,1292
COL6A3,1293
COL6A6,131873
COLEC12,81035
COMA,266710
COMMD1,150684
COMP,1311
COMT,1312
COP,1313
COPA,1314
COPD1,544444
COPD13,544417
COPD19,544416
COPS2,9318
COPS3,8533
COPS5,10987
COPS6,10980
CORIN,10699
CORT,1325
COX2,4513
COX5B,1329
CP,1356
CP1,50820
CP110,9738
CPB2,1361
CPE,1363
CPEB1,64506
CPLX1,10815
CPM,1368
CPS1,1373
CPSF1,29894
CPSF2,53981
CPSF3,51692
CPSF4,10898
CPSF7,79869
CPT1A,1374
CPT1B,1375
CPT1C,126129
CPT2,1376
CPVL,54504
CR1,1378
CR2,1380
CRADD,8738
CRB3,92359
CRCP,27297
CREB1,1385
CREB3,10488
CREB3L1,90993
CREB3L2,64764
CREB3L3,84699
CREB3L4,148327
CREB5,9586
CREBBP,1387
CREBZF,58487
CRELD1,78987
CREM,1390
CRH,1392
CRHBP,1393
CRHR1,1394
CRHR2,1395
CRIP1,1396
CRIP2,1397
CRIPAK,285464
CRIPT,9419
CRK,1398
CRKL,1399
CRLF1,9244
CRLF2,64109
CRP,1401
CRPP1,171422
CRTC1,23373
CRTC2,200186
CRX,1406
CRY1,1407
CRY2,1408
CRYAA,1409
CRYAB,1410
CRYBB2,1415
CRYZ,1429
CSAD,51380
CSAG2,728461
CSDA,8531
CSDC2,27254
CSDE1,7812
CSE,1433
CSE1L,1434
CSF1,1435
CSF1R,1436
CSF2,1437
CSF2RA,1438
CSF2RB,1439
CSF3,1440
CSF3R,1441
CSH1,1442
CSHL1,1444
CSK,1445
CSN1S1,1446
CSN2,1447
CSNK1A1,1452
CSNK1A1L,122011
CSNK1D,1453
CSNK1E,1454
CSNK1G1,53944
CSNK1G2,1455
CSNK1G3,1456
CSNK2A1,1457
CSNK2A2,1459
CSNK2B,1460
CSPG5,10675
CSRP1,1465
CSRP2,1466
CSRP3,8048
CST3,1471
CST6,1474
CSTA,1475
CSTF1,1477
CSTF2,1478
CSTF2T,23283
CSTF3,1479
CTAG1B,1485
CTBP1,1487
CTBP2,1488
CTCF,10664
CTDP1,9150
CTDSP1,58190
CTDSP2,10106
CTDSPL,10217
CTF1,1489
CTGF,1490
CTLA4,1493
CTNNA1,1495
CTNNA2,1496
CTNNA3,29119
CTNNB1,1499
CTNNBIP1,56998
CTNNBL1,56259
CTNND1,1500
CTNND2,1501
CTRC,11330
CTRL,1506
CTSB,1508
CTSD,1509
CTSF,8722
CTSG,1511
CTSH,1512
CTSK,1513
CTSL1,1514
CTSS,1520
CTTN,2017
CUBN,8029
CUEDC2,79004
CUL1,8454
CUL3,8452
CUL4A,8451
CUL5,8065
CUL7,9820
CUL9,23113
CUZD1,50624
CX3CL1,6376
CX3CR1,1524
CXCL1,2919
CXCL10,3627
CXCL11,6373
CXCL12,6387
CXCL13,10563
CXCL14,9547
CXCL16,58191
CXCL2,2920
CXCL3,2921
CXCL5,6374
CXCL6,6372
CXCL9,4283
CXCR1,3577
CXCR2,3579
CXCR3,2833
CXCR4,7852
CXCR5,643
CXCR6,10663
CXCR7,57007
CXorf15,55787
CXXC1,30827
CXXC4,80319
CYB5A,1528
CYB5R3,1727
CYBA,1535
CYBB,1536
CYCS,54205
CYFIP1,23191
CYFIP2,26999
CYLD,1540
CYP11A1,1583
CYP11B2,1585
CYP17A1,1586
CYP19A1,1588
CYP1A1,1543
CYP1A2,1544
CYP24A1,1591
CYP27A1,1593
CYP2B6,1555
CYP2C18,1562
CYP2C9,1559
CYP2D6,1565
CYP2E1,1571
CYP2J2,1573
CYP3A,1574
CYP3A4,1576
CYP4A11,1579
CYP4A22,284541
CYP7A1,1581
CYP7B1,9420
CYP8B1,1582
CYR61,3491
CYSLTR1,10800
CYSLTR2,57105
CYTH1,9267
CYTH2,9266
CYTH3,9265
CYTH4,27128
D4S234E,27065
DAAM1,23002
DAAM2,23500
DAB1,1600
DAB2,1601
DAB2IP,153090
DACH1,1602
DAG1,1605
DAK,26007
DAND5,199699
DAO,1610
DAOA,267012
DAP3,7818
DAPK1,1612
DAPK2,23604
DAPK3,1613
DAPP1,27071
DARC,2532
DAXX,1616
DAZ1,1617
DAZAP1,26528
DBF4,10926
DBF4B,80174
DBH,1621
DBI,1622
DBNL,28988
DBP,1628
DBT,1629
DCAF7,10238
DCC,1630
DCK,1633
DCLK1,9201
DCLK2,166614
DCLRE1B,64858
DCLRE1C,64421
DCN,1634
DCP1A,55802
DCP1B,196513
DCT,1638
DCTN1,1639
DCTN2,10540
DCTN3,11258
DCTN4,51164
DCTN5,84516
DCTN6,10671
DCUN1D1,54165
DDAH2,23564
DDB1,1642
DDB2,1643
DDC,1644
DDHD1,80821
DDIT3,1649
DDIT4,54541
DDOST,1650
DDR1,780
DDR2,4921
DDX1,1653
DDX17,10521
DDX18,8886
DDX19B,11269
DDX20,11218
DDX25,29118
DDX39A,10212
DDX3X,1654
DDX3Y,8653
DDX4,54514
DDX5,1655
DDX58,23586
DDX6,1656
DEAF1,10522
DECR1,1666
DEDD,9191
DEF6,50619
DEFA1,1667
DEFB1,1672
DEFB4,1673
DEK,7913
DEPDC6,64798
DES,1674
DEXI,28955
DFFA,1676
DFFB,1677
DFN8,1684
DFNB26,23714
DFNM1,54362
DGCR8,54487
DGKA,1606
DGKG,1608
DGKZ,8525
DGUOK,1716
DHFR,1719
DHH,50846
DHRS3,9249
DHX32,55760
DHX58,79132
DHX8,1659
DHX9,1660
DIABLO,56616
DIANPH,23771
DIAPH1,1729
DIAPH2,1730
DIAPH3,81624
DICER1,23405
DIRAS3,9077
DISC1,27185
DIXDC1,85458
DKC1,1736
DKK1,22943
DKK2,27123
DKK3,27122
DKK4,27121
DLAT,1737
DLC1,10395
DLD,1738
DLG1,1739
DLG2,1740
DLG3,1741
DLG4,1742
DLGAP1,9229
DLGAP5,9787
DLK1,8788
DLL1,28514
DLL3,10683
DLL4,54567
DLX2,1746
DLX3,1747
DLX4,1748
DLX5,1749
DMAP1,55929
DMBT1,1755
DMBX1,127343
DMD,1756
DMP1,1758
DMPK,1760
DMTF1,9988
DNAH8,1769
DNAJA1,3301
DNAJA2,10294
DNAJA3,9093
DNAJB1,3337
DNAJB1P,171221
DNAJB2,3300
DNAJB4,11080
DNAJB6,10049
DNAJC15,29103
DNAJC3,5611
DNAJC5,80331
DNAJC7,7266
DNAL4,10126
DNM1,1759
DNM1L,10059
DNM2,1785
DNMBP,23268
DNMT1,1786
DNMT3A,1788
DNMT3B,1789
DNMT3L,29947
DNTT,1791
DNTTIP1,116092
DOC2A,8448
DOCK1,1793
DOCK10,55619
DOCK11,139818
DOCK2,1794
DOCK6,57572
DOCK7,85440
DOCK9,23348
DOK1,1796
DOK2,9046
DOK3,79930
DOK4,55715
DOK5,55816
DOK6,220164
DOK7,285489
DPF2,5977
DPM3,54344
DPP10,57628
DPP4,1803
DPYSL2,1808
DRD1,1812
DRD2,1813
DRD3,1814
DRD4,1815
DRD5,1816
DSCAM,1826
DSG1,1828
DSP,1832
DSPP,1834
DST,667
DSTN,11034
DTX1,1840
DTX2,113878
DTX3,196403
DTX3L,151636
DTX4,23220
DUOX1,53905
DUOX2,50506
DUSP1,1843
DUSP10,11221
DUSP14,11072
DUSP16,80824
DUSP18,150290
DUSP2,1844
DUSP26,78986
DUSP3,1845
DUSP4,1846
DUSP5,1847
DUSP6,1848
DUSP7,1849
DUSP8,1850
DUSP9,1852
DUT,1854
DVL1,1855
DVL1L1,8215
DVL2,1856
DVL3,1857
DYM,54808
DYNC1H1,1778
DYNC1I2,1781
DYNLL1,8655
DYNLL2,140735
DYNLT1,6993
DYRK1A,1859
DYRK1B,9149
DYRK2,8445
DYRK3,8444
DYRK4,8798
E2F1,1869
E2F2,1870
E2F3,1871
E2F4,1874
E2F5,1875
E2F6,1876
E2F7,144455
E2F8,79733
E4F1,1877
EAF2,55840
EBAG9,9166
EBF4,57593
EBI3,10148
EBNA1BP2,10969
EBP,10682
ECE1,1889
ECM1,1893
ECSIT,51295
ECT2,1894
EDA,1896
EDA2R,60401
EDAR,10913
EDF1,8721
EDIL3,10085
EDN1,1906
EDN2,1907
EDN3,1908
EDNRA,1909
EDNRB,1910
EEA1,8411
EEC1,1913
EED,8726
EEF1A1,1915
EEF1A2,1917
EEF1B2,1933
EEF1B3,1934
EEF1D,1936
EEF1G,1937
EEF2,1938
EEF2K,29904
EFEMP2,30008
EFNA1,1942
EFNA2,1943
EFNA3,1944
EFNA4,1945
EFNA5,1946
EFNB1,1947
EFNB2,1948
EFNB3,1949
EGF,1950
EGFR,1956
EGLN1,54583
EGLN2,112398
EGLN3,112399
EGR1,1958
EGR2,1959
EGR3,1960
EGR4,1961
EHD1,10938
EHD3,30845
EHF,26298
EHHADH,1962
EHMT1,79813
EHMT2,10919
EI24,9538
EID2,163126
EIF1,10209
EIF1AX,1964
EIF2A,83939
EIF2AK1,27102
EIF2AK2,5610
EIF2AK3,9451
EIF2B1,1967
EIF2B2,8892
EIF2B3,8891
EIF2B4,8890
EIF2B5,8893
EIF2C2,27161
EIF2S1,1965
EIF2S2,8894
EIF2S3,1968
EIF3A,8661
EIF3B,8662
EIF3C,8663
EIF3D,8664
EIF3E,3646
